Date,Volume
07/02/1983,13603200
08/02/1983,40732800
09/02/1983,16099200
10/02/1983,11395200
11/02/1983,6585600
14/02/1983,7324800
15/02/1983,35433600
16/02/1983,17894400
17/02/1983,31065600
18/02/1983,60873600
22/02/1983,12163200
23/02/1983,33033600
24/02/1983,22809600
25/02/1983,24163200
28/02/1983,15100800
01/03/1983,25104000
02/03/1983,24585600
03/03/1983,19459200
04/03/1983,25651200
07/03/1983,34540800
08/03/1983,27312000
09/03/1983,31065600
10/03/1983,20265600
11/03/1983,18230400
14/03/1983,29472000
15/03/1983,26476800
16/03/1983,57360000
17/03/1983,17376000
18/03/1983,18585600
21/03/1983,17616000
22/03/1983,30268800
23/03/1983,13334400
24/03/1983,17155200
25/03/1983,8409600
28/03/1983,8169600
29/03/1983,11299200
30/03/1983,13574400
31/03/1983,16867200
04/04/1983,18336000
05/04/1983,16358400
06/04/1983,21897600
07/04/1983,30355200
08/04/1983,13900800
11/04/1983,25315200
12/04/1983,22185600
13/04/1983,27177600
14/04/1983,31689600
15/04/1983,10531200
18/04/1983,13392000
19/04/1983,8572800
20/04/1983,13680000
21/04/1983,29433600
22/04/1983,9792000
25/04/1983,31334400
26/04/1983,16070400
27/04/1983,35001600
28/04/1983,13036800
29/04/1983,12480000
02/05/1983,50073600
03/05/1983,14131200
04/05/1983,33216000
05/05/1983,17347200
06/05/1983,53625600
09/05/1983,25545600
10/05/1983,33139200
11/05/1983,47520000
12/05/1983,25862400
13/05/1983,30259200
16/05/1983,18595200
17/05/1983,10531200
18/05/1983,13728000
19/05/1983,22243200
20/05/1983,29836800
23/05/1983,14256000
24/05/1983,18835200
25/05/1983,22723200
26/05/1983,14659200
27/05/1983,11702400
31/05/1983,12124800
01/06/1983,22684800
02/06/1983,8409600
03/06/1983,14582400
06/06/1983,18336000
07/06/1983,20899200
08/06/1983,9907200
09/06/1983,24240000
10/06/1983,10675200
13/06/1983,17990400
14/06/1983,14928000
15/06/1983,17443200
16/06/1983,15676800
17/06/1983,16896000
20/06/1983,18950400
21/06/1983,44688000
22/06/1983,73248000
23/06/1983,77942400
24/06/1983,29923200
27/06/1983,24950400
28/06/1983,16761600
29/06/1983,46848000
30/06/1983,30115200
01/07/1983,22804800
05/07/1983,16564800
06/07/1983,26308800
07/07/1983,29016000
08/07/1983,18456000
11/07/1983,39552000
12/07/1983,55180800
13/07/1983,42134400
14/07/1983,36350400
15/07/1983,18691200
18/07/1983,19406400
19/07/1983,24969600
20/07/1983,29649600
21/07/1983,40382400
22/07/1983,17827200
25/07/1983,29644800
26/07/1983,29611200
27/07/1983,45120000
28/07/1983,50328000
29/07/1983,107894400
01/08/1983,31627200
02/08/1983,21120000
03/08/1983,35716800
04/08/1983,22555200
05/08/1983,10876800
08/08/1983,18412800
09/08/1983,30220800
10/08/1983,20044800
11/08/1983,13996800
12/08/1983,28876800
15/08/1983,18600000
16/08/1983,52243200
17/08/1983,42014400
18/08/1983,14736000
19/08/1983,10617600
22/08/1983,9168000
23/08/1983,22137600
24/08/1983,29678400
25/08/1983,23899200
26/08/1983,42696000
29/08/1983,24480000
30/08/1983,32136000
31/08/1983,26409600
01/09/1983,27235200
02/09/1983,22401600
06/09/1983,31555200
07/09/1983,24196800
08/09/1983,42230400
09/09/1983,57249600
12/09/1983,20121600
13/09/1983,16641600
14/09/1983,26131200
15/09/1983,15705600
16/09/1983,16900800
19/09/1983,18652800
20/09/1983,29736000
21/09/1983,38395200
22/09/1983,16008000
23/09/1983,14971200
26/09/1983,29107200
27/09/1983,17016000
28/09/1983,19771200
29/09/1983,12782400
30/09/1983,15124800
03/10/1983,24825600
04/10/1983,17880000
05/10/1983,16752000
06/10/1983,19497600
07/10/1983,22843200
10/10/1983,13982400
11/10/1983,27436800
12/10/1983,14304000
13/10/1983,13003200
14/10/1983,28718400
17/10/1983,21417600
18/10/1983,21312000
19/10/1983,48744000
20/10/1983,36393600
21/10/1983,40972800
24/10/1983,25713600
25/10/1983,32116800
26/10/1983,21350400
27/10/1983,20716800
28/10/1983,28449600
31/10/1983,31104000
01/11/1983,36748800
02/11/1983,28200000
03/11/1983,28574400
04/11/1983,22843200
07/11/1983,41294400
08/11/1983,19353600
09/11/1983,39710400
10/11/1983,33292800
11/11/1983,18787200
14/11/1983,27614400
15/11/1983,15024000
16/11/1983,10171200
17/11/1983,12028800
18/11/1983,8875200
21/11/1983,7929600
22/11/1983,28968000
23/11/1983,26740800
25/11/1983,10876800
28/11/1983,15220800
29/11/1983,65731200
30/11/1983,18528000
01/12/1983,19358400
02/12/1983,16977600
05/12/1983,20616000
06/12/1983,24585600
07/12/1983,21441600
08/12/1983,22084800
09/12/1983,11428800
12/12/1983,20822400
13/12/1983,14592000
14/12/1983,21619200
15/12/1983,17116800
16/12/1983,23289600
19/12/1983,19238400
20/12/1983,12297600
21/12/1983,14438400
22/12/1983,12422400
23/12/1983,2500800
27/12/1983,10195200
28/12/1983,5481600
29/12/1983,15816000
30/12/1983,25622400
03/01/1984,9739200
04/01/1984,11596800
05/01/1984,36633600
06/01/1984,20452800
09/01/1984,13603200
10/01/1984,34200000
11/01/1984,15926400
12/01/1984,20856000
13/01/1984,42408000
16/01/1984,22603200
17/01/1984,33220800
18/01/1984,20630400
19/01/1984,15643200
20/01/1984,25070400
23/01/1984,36230400
24/01/1984,17452800
25/01/1984,24508800
26/01/1984,63441600
27/01/1984,54124800
30/01/1984,26366400
31/01/1984,59755200
01/02/1984,57936000
02/02/1984,29280000
03/02/1984,24796800
06/02/1984,36960000
07/02/1984,40651200
08/02/1984,34358400
09/02/1984,75758400
10/02/1984,49483200
13/02/1984,52132800
14/02/1984,23385600
15/02/1984,38779200
16/02/1984,47673600
17/02/1984,62145600
21/02/1984,26169600
22/02/1984,10468800
23/02/1984,23044800
24/02/1984,41577600
27/02/1984,91483200
28/02/1984,29908800
29/02/1984,27710400
01/03/1984,41342400
02/03/1984,41212800
05/03/1984,17040000
06/03/1984,14131200
07/03/1984,20020800
08/03/1984,21816000
09/03/1984,28449600
12/03/1984,25680000
13/03/1984,32174400
14/03/1984,25900800
15/03/1984,13944000
16/03/1984,47150400
19/03/1984,18336000
20/03/1984,12988800
21/03/1984,9729600
22/03/1984,17256000
23/03/1984,15009600
26/03/1984,24292800
27/03/1984,8073600
28/03/1984,14611200
29/03/1984,23851200
30/03/1984,11232000
02/04/1984,14006400
03/04/1984,13809600
04/04/1984,22353600
05/04/1984,35040000
06/04/1984,30163200
09/04/1984,21892800
10/04/1984,20011200
11/04/1984,29092800
12/04/1984,32289600
13/04/1984,24062400
16/04/1984,17688000
17/04/1984,60024000
18/04/1984,18734400
19/04/1984,11006400
23/04/1984,13228800
24/04/1984,19296000
25/04/1984,30235200
26/04/1984,24451200
27/04/1984,27388800
30/04/1984,24110400
